Столбец1;district;SOZYV;turnout;deputy;expell;self_success;ER_success;KPRF_success;ya_success;other_success;self_share;er_share;kprf_share;ya_share;other_share;party_deputy_share
Сокол;95;4;0.22;10;0.23;0.05;0.3;0.13;0.63;НЕТ;0.1;0.3;0.1;0.5;0,00;0.9
Соколиная Гора;96;4;0.17;12;0.03;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Сокольники;97;4;0.24;10;0,00;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Солнцево;98;4;0.13;10;0.09;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Старое Крюково;99;4;0.17;10;0.05;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Строгино;100;4;0.15;16;0.09;0,00;0.94;0,00;0.08;НЕТ;0,00;0.94;0,00;0.06;0,00;1,00
Таганский;101;4;0.17;15;0.1;0,00;0.8;0,00;0.14;НЕТ;0,00;0.8;0,00;0.13;0,00;1,00
Тверской;102;4;0.18;12;0.1;0.05;0.08;0,00;1,00;НЕТ;0.08;0.08;0,00;0.83;0,00;0.92
Текстильщики;103;4;0.13;10;0.03;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Тёплый Стан;104;4;0.17;15;0.07;0.06;0.93;0,00;0,00;НЕТ;0.07;0.93;0,00;0,00;0,00;0.93
Тимирязевский;105;4;0.18;15;0.11;0.09;0.53;0.08;0.67;НЕТ;0.13;0.53;0.07;0.27;0,00;0.87
Тропарёво-Никулино;106;4;0.16;10;0.09;0.05;0,00;0,00;0.9;НЕТ;0.1;0,00;0,00;0.9;0,00;0.9
Филёвский Парк;107;4;0.15;10;0.1;0.07;0.4;0,00;0.5;НЕТ;0.1;0.4;0,00;0.4;0.1;0.9
Фили-Давыдково;108;4;0.13;10;0.05;0.2;0.7;0.2;0,00;НЕТ;0.1;0.7;0.2;0,00;0,00;0.9
Хамовники;109;4;0.21;15;0.11;0.31;0,00;0.08;0.75;НЕТ;0.33;0,00;0.07;0.6;0,00;0.67
Ховрино;110;4;0.16;12;0.13;0.05;0.67;0,00;0.38;НЕТ;0.08;0.67;0,00;0.25;0,00;0.92
Хорошёво-Мнёвники;111;4;0.14;15;0.08;0,00;0.67;0.2;0.33;НЕТ;0,00;0.67;0.2;0.13;0,00;1,00
Хорошёвский;112;4;0.17;10;0.11;0.09;0.4;0.1;0.67;НЕТ;0.1;0.4;0.1;0.4;0,00;0.9
Царицыно;113;4;0.12;10;0.04;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Черёмушки;114;4;0.12;12;0.09;0,00;0.42;0.56;0.5;НЕТ;0,00;0.42;0.42;0.17;0,00;1,00
Чертаново Северное;115;4;0.13;10;0.1;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Чертаново Центральное;116;4;0.12;10;0.14;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Чертаново Южное;117;4;0.1;15;0.14;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Щукино;118;4;0.37;15;0.22;0.2;0.31;0.45;0.5;НЕТ;0.2;0.27;0.33;0.2;0,00;0.8
Южное Бутово;119;4;0.1;12;0.1;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Южное Медведково;120;4;0.15;10;0.16;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Южное Тушино;121;4;0.16;12;0.17;0.08;0.92;0,00;0,00;НЕТ;0.08;0.92;0,00;0,00;0,00;0.92
Южнопортовый;122;4;0.15;10;0.12;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Якиманка;123;4;0.22;10;0.09;0,00;0.1;0,00;1,00;НЕТ;0,00;0.1;0,00;0.9;0,00;1,00
Ярославский;124;4;0.14;12;0.16;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Ясенево;125;4;0.13;15;0.08;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
